0,2,ああ,嗚呼,驚いた時や、感動したときのことば。,感動詞
1,3,…あい,合い,…のようす。,動詞
2,3,あい…,相,同じであることをさすことば。,名詞
3,2,あい,愛,好きな人を、大事にしたいと思う気持ち。,名詞
4,2,あい,間,あいだ。すきま。,名詞
5,2,あい,藍,タデ科の一年草。青い染料をとる。,名詞
6,2,あい,藍,こい青。,名詞
7,2,あい,埃,数の単位。１０のマイナス１０乗。,名詞
8,2,アイ,eye,目。,名詞
9,2,アイ,I,英語のアルファベットの９番目。,特殊
10,2,あう,逢う,めぐりあう。,動詞
11,2,あう,会う,面会する。,動詞
12,2,あう,合う,ひとつになる。,動詞
13,2,あう,遭う・遇う,災難に直面する。,動詞
14,2,あえ,和え,料理で、酢や味噌などとまぜること。,名詞
15,2,あお,青,晴れた空のような色。ブルー。,名詞
16,2,あお,蒼,草の色。濃い藍。,名詞
17,2,あか,亜科,生物の分類で、科と属のあいだの階級。,名詞
18,2,あか,垢,皮ふの表面にたまったよごれ。,名詞
19,2,あか,赤,トマトの皮のような色。レッド。,名詞
20,2,あか,銅,あかがね。金属の、どう。,名詞
21,2,あか,淦,船の底にたまった水。,特殊
22,2,あか,閼伽,清らかな水など、神仏に供えるもの。,名詞
23,2,あき,安芸,広島市にある区。,名詞
24,2,あき,安芸,高知県にある市。,名詞
25,2,あき,安芸,広島県西部の旧国名。,名詞
26,2,あき,開き,ひらくこと。,名詞
27,2,あき,空き・明き,すきま。ひま。,名詞
28,2,あき,秋,四季で、夏の次の季節。,名詞
29,2,あき,飽き・厭き,あきること。,名詞
30,2,あく,悪,わるいこと。,名詞
31,2,あく,灰汁,野菜などの渋み。,名詞
32,2,あく,開く,ひらく。,動詞
33,2,あく,空く,からになる。,動詞
34,2,あく,飽く,あきる。いやになる。,動詞
35,2,あく,明く,見えるようになる。,動詞
36,2,あけ,朱・緋,赤色。,名詞
37,2,あけ,明け,夜があけること。,名詞
38,2,あげ,上げ,上げること,名詞
39,2,あげ,揚げ,油であげたもの。,名詞
40,2,あご,顎,俗に、食費のこと。,名詞
41,2,あご,顎,口の上下の部分。,名詞
42,2,あさ,朝,夜があけてからの時間。,名詞
43,2,あさ,麻,クワ科の一年草。茎の皮の繊維を利用。,名詞
44,2,あし,葦・蘆・葭,イネ科の多年草。水辺に生える。,名詞
45,2,あし,脚,つくえなどの、上の物を支えている部分。,名詞
46,2,あし,足,俗に、交通費のこと。,名詞
47,2,あし,足,歩いたり走ったりする体の部分。,名詞
48,2,あす,明日,あした。今日の次の日。,名詞
49,2,あせ,汗,暑いときなどに、体から出る液体。,名詞
50,2,あそ,阿蘇,熊本県の地名。阿蘇山で有名。,名詞
51,2,あざ,字,町や村の中の、区画の呼び名。,名詞
52,2,あざ,痣,内出血による、皮ふの変色。,名詞
53,2,あじ,味,食事のとき、舌で感じる感覚。,名詞
54,2,あじ,鯵,アジ科の海水魚。食用。,名詞
55,2,アジ,agitation,アジテーション。そそのかすこと。,名詞
56,2,あぜ,畦・畔,田と田のさかい。,名詞
57,2,あつ,圧,圧力。,名詞
58,3,…あて,宛,郵便物などの送り先であることを示す語。,名詞
59,2,あて,当て,見込み。目当て。,名詞
60,2,あと,後,うしろ。,名詞
61,2,あと,跡,歩いたところなどに残るしるし。,名詞
62,3,アト…,atto-,１００京分の１をあらわす接頭語。,名詞
63,2,あだ,仇,かたき。うらみ。,名詞
64,2,あだ,徒,はかないさま。むだ。,名詞
65,2,あだ,婀娜,女性の、色っぽいさま。,名詞
66,2,あど,アド,狂言のわき役。,名詞
67,2,アド,ad,広告。宣伝。,名詞
68,2,アド,address,アドレス。住所。,名詞
69,2,あな,あな,感動したときのことば。ああ。,名詞
70,2,あな,穴,競馬で、人気は薄いが勝ちそうな馬。,名詞
71,2,あな,穴,くぼんだところ。,名詞
72,2,アナ,announcer,アナウンサー。,名詞
73,2,あに,兄,年上の男のきょうだい。,名詞
74,2,あに,豈,なんで。どうして。,特殊
75,2,あね,姉,年上の女のきょうだい。,名詞
76,2,あの,彼の,遠いものをさすことば。,名詞
77,2,あふ,阿付,へつらい、したがうこと。,名詞
78,2,あほ,阿保,ばか。まぬけ。,名詞
79,2,アホ,ajo,スペイン語で、ニンニク。,名詞
80,2,あび,阿比,アビ科の水鳥。冬、日本に渡来。,名詞
81,2,あび,阿鼻,剣の山などがある、もっとも苦しい地獄。,名詞
82,2,あぶ,虻,アブ科の昆虫。ハエに似る。,名詞
83,2,あべ,阿部,日本で２３番目に多い苗字。,名詞
84,2,あべ,安部,日本で２５９番目に多い苗字。,名詞
85,2,アポ,appointment,アポイントメント。人と会う約束。,名詞
86,2,あま,亜麻,アマ科の一年草。茎から繊維をとる。,名詞
87,2,あま,海女,海にもぐって海産物をとる女性。,名詞
88,2,あま,海人・海士・蜑,魚介類や海藻をとる人。漁師。,名詞
89,2,あま,尼,仏門にはいった女性。,名詞
90,2,アマ,amateur,アマチュア。,名詞
91,2,あみ,醤蝦・糠蝦,エビに似た節足動物。塩辛などにする。,名詞
92,2,あみ,網,糸などを、ます目のように編んだもの。,名詞
93,2,あむ,編む,糸などを結び合わせて、ものを作る。,動詞
94,2,あめ,飴,ねばり気のある、甘い菓子。,名詞
95,2,あめ,雨,空からふってくる水滴。,名詞
96,2,あや,綾,ななめに交差する模様の織物。,名詞
97,2,あや,文・綾,もよう。色合い。,名詞
98,2,あゆ,阿諛,へつらうこと。,名詞
99,2,あゆ,鮎・香魚・年魚,アユ科の淡水魚。食用。,名詞
100,3,あら…,荒,荒れはてた。荒っぽい。,名詞
